ID,Title,Brand,Category,Description,Specifications
3O1ZNp54LWQGln4uEAU7Vs,"","Meze","audio/cables"," 2.5mm or 4.4mm balanced upgrade cable for 99 Classics and 99 Neo. Will also work with any 3.5mm TS connection headphone. 1.3m (4.2 ft) OFC Silver Plated 2.5mm or 4.4mm TRRS balanced connection 2 x 3.5mm TS connection Soft transparent TPU coating ",""
3O1ZNp54LWQGln4uEAUFVf,"","AudioQuest","audio/cables","High-quality audio cable designed for minimal signal loss and durable performance.",""
3O1ZNp54LWQGln4uEAUFjw,"","AudioQuest","audio/cables","


The AudioQuest Golden Gate 3.5mm to RCA Cable (4.9') is designed to reduce distortion in your signal. To achieve this the audio cable utilizes solid perfect-surface copper conductors in a double-balanced asymmetrical geometry with foamed-polyethylene insulation, a metal-layer noise dissipation system, and cold-welded gold-plated RCA plugs.
The solid perfect-surface copper conductors have less oxides, less impurities, and less grain boundaries than industry standard oxygen-free high conductivity copper, which reduces the amount of magnetic and electrical interference within the cable. The double-balanced asymmetrical geometry lowers the impedance on the ground plane and improves the dynamic response of the signal. The foamed-polyethylene insulation creates an air insulator around the conductors which significantly reduces the absorption of energy and presence of distortion in the cable. The metal-layer noise-dissipation system blocks RF interference from entering the ground plane of the cable. The use of cold-weld connections ensures that the joints between the cable and hardware have a reduced influence on signal clarity. The gold-plated RCA plugs will not oxidize, tarnish, or corrode the same way other metals can. All of these features combine to provide you with an audio cable with reduced distortion.


 



Solid Perfect-Surface Copper Conductors

The solid perfect-surface copper conductors have less oxides, less impurities, and less grain boundaries than industry standard oxygen-free high conductivity copper and therefore causes less magnetic and electrical interference within the cable






Foamed-Polyethylene Insulation

The foamed-polyethylene insulation creates an air insulator around the conductors which significantly reduces the absorption of energy and presence of distortion in the cable






Metal-Layer Noise-Dissipation System (NDS)

The metal-layer noise-dissipation system blocks RF interference from entering the ground plane of the cable






Double-Balanced Asymmetrical Geometry

The double-balanced asymmetrical geometry of the cable lowers the impedance on the ground plane and improves the dynamic response of the signal






Cold-Weld

Unlike traditional hot solder joints, the cable uses high pressure cold-weld connections






Gold-Plated RCA

The gold-plated RCA plugs will not oxidize, tarnish, or corrode the same way other metals can




",""
3O1ZNp54LWQGln4uEAUGAa,"","64 Audio","/accessories/audio-cables","Elevate Your Listening Experience Introducing the 64 Audio Premium In-Ear Monitor Cable – the essential accessory to enhance your audio journey. Originally designed to complement 64 Audio's latest UIEM releases, the Duo and U6t, this cable is now available as a standalone item, ready to take your listening experience to new heights. Whether you're a discerning audiophile or a music enthusiast, this Premium Cable offers unparalleled performance, style, and versatility. Exceptional Design and Performance 64 Audio's Premium Cable stands out as a masterpiece of design and engineering. Crafted with meticulous attention to detail, this cable features a branded straight 3.5mm metal jack, along with a metal synch and branded metal bifurcation for added durability and style. The ergonomic curve of the cable leads to our classic angled 2-Pin connectors, ensuring a comfortable fit around the ear without the need for memory wires. Say goodbye to tangling and microphonic noise with the new soft jacketing, which not only enhances aesthetics but also delivers a tangle-free listening experience. Technical Specifications Pins: .78mm Total Impedance: 0.23 Ohms Cable Construction: 7 x 7 x 4 Multi-Twist Wire Material: Silver Plated OCC Copper Wire Gauge: 26 AWG Compatibility The Premium In-Ear Monitor Cable is exclusively designed for use with 64 Audio's Universal In-Ear Monitors. It offers a seamless fit with 64 Audio's top-tier UIEM models, enhancing their performance and your listening pleasure. Elevate your audio experience with this precision-engineered cable, delivering unparalleled sound quality and comfort. Embrace the future of audio technology and enjoy a new level of sonic excellence. Elevate Your Sound with 64 Audio Experience audio excellence like never before with the 64 Audio Premium In-Ear Monitor Cable. Elevate your sound, embrace precision design, and enjoy a tangle-free listening experience. Whether you're a music professional or a passionate audiophile, this cable is an essential addition to your audio gear collection. Unlock the full potential of your Universal In-Ear Monitors and immerse yourself in a world of unparalleled sonic clarity and detail.",""
3O1ZNp54LWQGln4uEAUGRi,"","Meze","/accessories/audio-cables","Replacement cable for Meze Empyrean or any compatible 4 pin mini-XLR headphone (Audeze LCD series, ZMF Headphones). 4 pin mini-XLR headphone termination  OFC 99.95% copper Compatible Headphones: Meze Audio Empyrean Meze Audio ELITE Audeze LCD-2 Classic Audeze LCD-2 Classic Closed-Back Audeze LCD-2 Audeze LCD-GX Audeze LCD-X Audeze LCD-XC Audeze LCD-3 Audeze LCD-4z ZMF Headphones",""
3O1ZNp54LWQGln4uEAUIek,"","Aune Audio","/accessories/audio-cables","Upgrade your experience with the Aune Audio AR3 4.4mm Balanced Pentaconn Cable. The AR3 has 3.5mm connections on the headphone side making it compatible with the excellent Aune Audio AR5000 Headphones along with many other headphones with 3.5mm connections. Super soft TPEE insulation means that the AR3 also feels great while listening while staying pliable. ",""
A5Y8wEwAn6Fo0zYQ5BLsNg,"","IsoAcoustics","Studio Equipment/Studio Monitors","No description available","Dimensions (W x H): 3"" x 1.5""; Weight Capacity: 40 lb; Quantity: 2 units per box"
A5Y8wEwAn6Fo0zYQ5BLszV,"","Bose","Speakers/Outdoor Speakers","No description available","Dimensions (H x W x D): 13.5"" x 5.75"" x 8""; Weight: 8 lbs."
A5Y8wEwAn6Fo0zYQ5BLud5,"","Sanus","Speakers/Outdoor Speakers","No description available","Model Code: VODLF125; UPC Code: 793795538239; Product Width: 26.97"" / 68.50cm; Product Height: 17.01"" / 43.21cm; Product Depth: 2.74"" - 24.00"" / 6.96cm - 60.96cm; TV Size Range: 40"" - 85"" / 101.60cm - 215.90cm; Maximum TV Weight: 120lbs / 54.43kg; Universal Mounting: Yes | 100 x 100 through 600 x 400i; Tilt: 7&deg; / -13&deg;; Swivel: 44&deg; / -44&deg;"
A5Y8wEwAn6Fo0zYQ5BLwsU,"","Bose","Speakers/Subwoofers","No description available","Dimensions (W x H x D): 10"" x 9.5"" x 10""; Weight: 11 lbs."
